entity,entity_type,metric,value,period,source
BOC Group,group,Trading and Hedging Gains,,2018-Q1,rbnz-dashboard
BOC Group,group,Fees and Commission Income,,2018-Q1,rbnz-dashboard
BOC Group,group,Other Income,,2018-Q1,rbnz-dashboard
BOC Group,group,Operating Expenses,,2018-Q1,rbnz-dashboard
BOC Group,group,Profit After Tax,,2018-Q1,rbnz-dashboard
BOC Group,group,Total Assets,2013.5,2018-Q1,rbnz-dashboard
BOC Group,group,Cash Position,242.6,2018-Q1,rbnz-dashboard
BOC Group,group,Net Loans and Advances,1684.2,2018-Q1,rbnz-dashboard
BOC Group,group,Deposits,448.8,2018-Q1,rbnz-dashboard
BOC Group,group,Equity,216.4,2018-Q1,rbnz-dashboard
BOC Group,group,Core Funding Ratio (CFR),,2018-Q1,rbnz-dashboard
BOC Group,group,1-Month Mismatch Ratio,,2018-Q1,rbnz-dashboard
BOC Group,group,1-Week Mismatch Ratio,,2018-Q1,rbnz-dashboard
BOC Group,group,Top 5 Non-Bank Credit Exposures,,2018-Q1,rbnz-dashboard
BOC Group,group,Top 5 Bank Credit Exposures,,2018-Q1,rbnz-dashboard
BOC Group,group,Bank Exposures ≥10% of CET1,,2018-Q1,rbnz-dashboard
BOI,standalone,Total Capital Ratio,57.2,2018-Q1,rbnz-dashboard
BOI,standalone,CET1 Ratio,57.2,2018-Q1,rbnz-dashboard
BOI,standalone,Tier 1 Capital Ratio,57.2,2018-Q1,rbnz-dashboard
BOI,standalone,Total Risk-Weighted Assets,94.2,2018-Q1,rbnz-dashboard
BOI,standalone,Total Non-Performing Loans,,2018-Q1,rbnz-dashboard
BOI,standalone,NPL Ratio,,2018-Q1,rbnz-dashboard
BOI,standalone,Individual Provisions,,2018-Q1,rbnz-dashboard
BOI,standalone,Collective Provisions,0.3,2018-Q1,rbnz-dashboard
BOI,standalone,Return on Assets,0.5,2018-Q1,rbnz-dashboard
BOI,standalone,Return on Equity,1.1,2018-Q1,rbnz-dashboard
BOI,standalone,NIM,3,2018-Q1,rbnz-dashboard
BOI,standalone,Net Interest Income,0.8,2018-Q1,rbnz-dashboard
BOI,standalone,Trading and Hedging Gains,0.2,2018-Q1,rbnz-dashboard
BOI,standalone,Fees and Commission Income,0,2018-Q1,rbnz-dashboard
BOI,standalone,Other Income,0,2018-Q1,rbnz-dashboard
BOI,standalone,Operating Expenses,0.8,2018-Q1,rbnz-dashboard
BOI,standalone,Profit After Tax,0.1,2018-Q1,rbnz-dashboard
BOI,standalone,Total Assets,102.7,2018-Q1,rbnz-dashboard
BOI,standalone,Cash Position,15.1,2018-Q1,rbnz-dashboard
BOI,standalone,Net Loans and Advances,86.4,2018-Q1,rbnz-dashboard
BOI,standalone,Deposits,48.2,2018-Q1,rbnz-dashboard
BOI,standalone,Equity,54,2018-Q1,rbnz-dashboard
BOI,standalone,Core Funding Ratio (CFR),108,2018-Q1,rbnz-dashboard
BOI,standalone,1-Month Mismatch Ratio,24.7,2018-Q1,rbnz-dashboard
BOI,standalone,1-Week Mismatch Ratio,26,2018-Q1,rbnz-dashboard
BOI,standalone,Top 5 Non-Bank Credit Exposures,88.4,2018-Q1,rbnz-dashboard
BOI,standalone,Top 5 Bank Credit Exposures,26,2018-Q1,rbnz-dashboard
BOI,standalone,Bank Exposures ≥10% of CET1,1,2018-Q1,rbnz-dashboard
CBA Group,group,Total Capital Ratio,,2018-Q1,rbnz-dashboard
CBA Group,group,CET1 Ratio,,2018-Q1,rbnz-dashboard
CBA Group,group,Tier 1 Capital Ratio,,2018-Q1,rbnz-dashboard
CBA Group,group,Total Risk-Weighted Assets,,2018-Q1,rbnz-dashboard
CBA Group,group,Total Non-Performing Loans,655.6,2018-Q1,rbnz-dashboard
CBA Group,group,NPL Ratio,0.8,2018-Q1,rbnz-dashboard
CBA Group,group,Individual Provisions,54.5,2018-Q1,rbnz-dashboard
CBA Group,group,Collective Provisions,263.8,2018-Q1,rbnz-dashboard
CBA Group,group,Return on Assets,1.1,2018-Q1,rbnz-dashboard
CBA Group,group,Return on Equity,13.7,2018-Q1,rbnz-dashboard
CBA Group,group,NIM,2,2018-Q1,rbnz-dashboard
CBA Group,group,Net Interest Income,485.5,2018-Q1,rbnz-dashboard
CBA Group,group,Trading and Hedging Gains,24,2018-Q1,rbnz-dashboard
CBA Group,group,Fees and Commission Income,126.9,2018-Q1,rbnz-dashboard
CBA Group,group,Other Income,0.8,2018-Q1,rbnz-dashboard
CBA Group,group,Operating Expenses,236.1,2018-Q1,rbnz-dashboard
CBA Group,group,Profit After Tax,264,2018-Q1,rbnz-dashboard
CBA Group,group,Total Assets,98643.4,2018-Q1,rbnz-dashboard
CBA Group,group,Cash Position,2225.9,2018-Q1,rbnz-dashboard
CBA Group,group,Net Loans and Advances,84293.4,2018-Q1,rbnz-dashboard
CBA Group,group,Deposits,58619.4,2018-Q1,rbnz-dashboard
CBA Group,group,Equity,7715.2,2018-Q1,rbnz-dashboard
CBA Group,group,Core Funding Ratio (CFR),,2018-Q1,rbnz-dashboard
CBA Group,group,1-Month Mismatch Ratio,,2018-Q1,rbnz-dashboard
CBA Group,group,1-Week Mismatch Ratio,,2018-Q1,rbnz-dashboard
CBA Group,group,Top 5 Non-Bank Credit Exposures,,2018-Q1,rbnz-dashboard
CBA Group,group,Top 5 Bank Credit Exposures,,2018-Q1,rbnz-dashboard
CBA Group,group,Bank Exposures ≥10% of CET1,,2018-Q1,rbnz-dashboard
CCB,standalone,Total Capital Ratio,13.4,2018-Q1,rbnz-dashboard
CCB,standalone,CET1 Ratio,12.7,2018-Q1,rbnz-dashboard
CCB,standalone,Tier 1 Capital Ratio,12.7,2018-Q1,rbnz-dashboard
CCB,standalone,Total Risk-Weighted Assets,1613.7,2018-Q1,rbnz-dashboard
CCB,standalone,Total Non-Performing Loans,0.4,2018-Q1,rbnz-dashboard
CCB,standalone,NPL Ratio,0,2018-Q1,rbnz-dashboard
CCB,standalone,Individual Provisions,,2018-Q1,rbnz-dashboard
CCB,standalone,Collective Provisions,4.8,2018-Q1,rbnz-dashboard
CCB,standalone,Return on Assets,0.8,2018-Q1,rbnz-dashboard
CCB,standalone,Return on Equity,7.6,2018-Q1,rbnz-dashboard
CCB,standalone,NIM,2,2018-Q1,rbnz-dashboard
CCB,standalone,Net Interest Income,9.3,2018-Q1,rbnz-dashboard
CCB,standalone,Trading and Hedging Gains,-1,2018-Q1,rbnz-dashboard
CCB,standalone,Fees and Commission Income,0.3,2018-Q1,rbnz-dashboard
CCB,standalone,Other Income,0,2018-Q1,rbnz-dashboard
CCB,standalone,Operating Expenses,3.3,2018-Q1,rbnz-dashboard
CCB,standalone,Profit After Tax,3.8,2018-Q1,rbnz-dashboard
CCB,standalone,Total Assets,1953.1,2018-Q1,rbnz-dashboard
CCB,standalone,Cash Position,95.3,2018-Q1,rbnz-dashboard
CCB,standalone,Net Loans and Advances,1638.7,2018-Q1,rbnz-dashboard
CCB,standalone,Deposits,356.6,2018-Q1,rbnz-dashboard
CCB,standalone,Equity,207.6,2018-Q1,rbnz-dashboard
